qid,question,context,gold_answer,pattern_tag
ADV_13,Who warned residents to evacuate before the hurricane?,Governor Elena Vasquez warned residents to evacuate before the hurricane made landfall. Emergency Director Frank Okafor said shelters had been opened across three counties.,Elena Vasquez,same-type-distractor
ADV_14,Who said shelters had been opened?,Governor Elena Vasquez warned residents to evacuate before the hurricane made landfall. Emergency Director Frank Okafor said shelters had been opened across three counties.,Frank Okafor,same-type-distractor
ADV_15,Who accused the senator of accepting illegal donations?,Investigative journalist Nina Park accused the senator of accepting illegal donations from foreign entities. Campaign manager Robert Ellis dismissed the allegations as politically motivated.,Nina Park,same-type-distractor
ADV_16,Who dismissed the allegations as politically motivated?,Investigative journalist Nina Park accused the senator of accepting illegal donations from foreign entities. Campaign manager Robert Ellis dismissed the allegations as politically motivated.,Robert Ellis,same-type-distractor
ADV_17,Who claimed the new drug reduced cancer risk by forty percent?,Lead researcher Dr. Amara Osei claimed the new drug reduced cancer risk by forty percent in clinical trials. Rival scientist Dr. James Whitfield questioned the methodology used in the study.,Dr. Amara Osei,adjacent-entity-distractor
ADV_18,Who questioned the methodology of the study?,Lead researcher Dr. Amara Osei claimed the new drug reduced cancer risk by forty percent in clinical trials. Rival scientist Dr. James Whitfield questioned the methodology used in the study.,Dr. James Whitfield,adjacent-entity-distractor
ADV_19,Who proposed the new education reform bill?,Senator Diana Cho proposed the new education reform bill aimed at reducing classroom sizes. Representative Paul Nguyen opposed the bill citing budget constraints.,Diana Cho,adjacent-entity-distractor
ADV_20,Who opposed the education reform bill?,Senator Diana Cho proposed the new education reform bill aimed at reducing classroom sizes. Representative Paul Nguyen opposed the bill citing budget constraints.,Paul Nguyen,adjacent-entity-distractor
ADV_21,Who confirmed the satellite had successfully entered orbit?,NASA Flight Director Marcus Webb confirmed the satellite had successfully entered orbit after a tense six-hour operation. Mission Specialist Dr. Leila Torres said the team was relieved after weeks of preparation.,Marcus Webb,adjacent-entity-distractor
ADV_22,Who said the team was relieved after weeks of preparation?,NASA Flight Director Marcus Webb confirmed the satellite had successfully entered orbit after a tense six-hour operation. Mission Specialist Dr. Leila Torres said the team was relieved after weeks of preparation.,Dr. Leila Torres,adjacent-entity-distractor
ADV_23,Who admitted the factory had been violating emissions standards?,Plant Manager George Hartley admitted the factory had been violating emissions standards for over two years. Environmental Inspector Clara Moody said fines would be issued immediately.,George Hartley,adjacent-entity-distractor
ADV_24,Who said fines would be issued immediately?,Plant Manager George Hartley admitted the factory had been violating emissions standards for over two years. Environmental Inspector Clara Moody said fines would be issued immediately.,Clara Moody,adjacent-entity-distractor
ADV_25,Who revealed that the merger would eliminate five hundred positions?,Union Representative James Forde revealed that the merger would eliminate five hundred positions across both companies. HR Director Susan Blake assured employees that severance packages would be offered.,James Forde,adjacent-entity-distractor
ADV_26,Who assured employees that severance packages would be offered?,Union Representative James Forde revealed that the merger would eliminate five hundred positions across both companies. HR Director Susan Blake assured employees that severance packages would be offered.,Susan Blake,adjacent-entity-distractor
ADV_27,Who reported that food contamination had affected twelve schools?,Health Inspector Daniel Cruz reported that food contamination had affected twelve schools in the district. School Board Chair Michelle Grant promised an immediate investigation would be launched.,Daniel Cruz,adjacent-entity-distractor
ADV_28,Who promised an immediate investigation would be launched?,Health Inspector Daniel Cruz reported that food contamination had affected twelve schools in the district. School Board Chair Michelle Grant promised an immediate investigation would be launched.,Michelle Grant,adjacent-entity-distractor
CTR_01,Who invented the telephone?,Alexander Graham Bell invented the telephone in 1876.,Alexander Graham Bell,control
CTR_02,What did Einstein develop?,Albert Einstein developed the theory of relativity.,the theory of relativity,control
CTR_03,Where is the Eiffel Tower located?,The Eiffel Tower is located in Paris France.,Paris France,control
